release_year,num_movies
1916,1
1925,1
1927,1
1929,2
1930,1
1932,1
1933,2
1934,1
1935,1
1936,1
1937,1
1938,2
1939,3
1940,4
1941,1
1942,2
1943,1
1944,1
1945,3
1946,3
1947,3
1948,3
1949,2
1950,1
1951,3
1952,3
1953,4
1954,3
1955,2
1956,3
1957,2
1958,1
1959,3
1960,2
1961,5
1962,6
1963,8
1964,10
1965,7
1966,6
1967,4
1968,8
1969,10
1970,10
1971,10
1972,7
1973,8
1974,5
1975,6
1976,8
1977,16
1978,12
1979,16
1980,22
1981,30
1982,18
1983,22
1984,25
1985,26
1986,24
1987,30
1988,29
1989,31
1990,26
1991,30
1992,31
1993,44
1994,51
1995,68
1996,92
1997,113
1998,122
1999,160
2000,153
2001,177
2002,189
2003,163
2004,188
2005,196
2006,223
2007,184
2008,212
2009,238
2010,212
2011,213
2012,199
2013,210
2014,224
2015,186
2016,83
