genre,average_budget
Action,5.668595250740375E7
Adventure,6.74010850182704E7
Animation,6.6648359649122804E7
Biography,2.4285696287769783E7
Comedy,2.842694396812749E7
Crime,2.802224450189155E7
Documentary,3812360.5263157897
Drama,2.2801426711620018E7
Family,5.428456551724138E7
Fantasy,5.865535795454545E7
Film-noir,1457600.0
Game-show,2.1E7
History,3.190664466129032E7
Horror,1.763374404255319E7
Music,1.837676023414634E7
Musical,2.8199545170940172E7
Mystery,3.244705493287037E7
News,1.04565E7
Reality-tv,2.1E7
Romance,2.46106788694362E7
Sci-fi,5.441065689814815E7
Short,2387500.0
Sport,2.8128201219512194E7
Thriller,3.450783936739659E7
War,3.1426897484693877E7
Western,2.8920818835164834E7
