genre,average_gross
Action,1.6807536242827225E8
Adventure,2.1927710210611737E8
Animation,2.405102806438356E8
Biography,6.115989041544118E7
Comedy,8.645009725416666E7
Crime,6.724708076781003E7
Documentary,1.926218190909091E7
Drama,6.094627669103139E7
Family,1.841890119893617E8
Fantasy,1.8800885668677044E8
Film-noir,6625000.0
Game-show,3.6882378E7
History,6.868136851666667E7
Horror,5.868057516336634E7
Music,5.143909178282829E7
Musical,9.894580200925925E7
Mystery,9.301889281326781E7
News,9560853.5
Reality-tv,3.6882378E7
Romance,7.256676752994923E7
Sci-fi,1.7564222574066797E8
Short,8874741.0
Sport,6.1084098164556965E7
Thriller,9.574689933945757E7
War,7.017591908421053E7
Western,6.114481031764706E7
