genre,average_rating
Action,6.2258637716363
Adventure,6.43191230805289
Animation,6.553508773184659
Biography,7.151079134975406
Comedy,6.18565737685495
Crime,6.560403538531944
Documentary,7.135964915417788
Drama,6.753731979971927
Family,6.218661265247492
Fantasy,6.272727285370682
Film-noir,7.7
Game-show,3.0999999046325684
History,7.062903220935534
Horror,5.737021269696824
Music,6.404878051688032
Musical,6.462393175842416
Mystery,6.466898163159688
News,7.25
Reality-tv,3.0999999046325684
Romance,6.436300695355167
Sci-fi,6.2766666619865985
Short,6.5249998569488525
Sport,6.634756089710608
Thriller,6.298215737888123
War,7.043367348155197
Western,6.696703302991259
