top_directors.genre,top_directors.director_id,top_directors.director_name,top_directors.director_score
Action,nm0634240,Christopher Nolan,65.43589782714844
Action,nm0001392,Peter Jackson,56.300811767578125
Action,nm0923736,Joss Whedon,54.451969146728516
Action,nm1119880,Colin Trevorrow,52.07370376586914
Action,nm0000116,James Cameron,49.2108154296875
Adventure,nm0634240,Christopher Nolan,62.326332092285156
Adventure,nm0923736,Joss Whedon,54.451969146728516
Adventure,nm0001392,Peter Jackson,54.00458526611328
Adventure,nm0000116,James Cameron,52.207542419433594
Adventure,nm1119880,Colin Trevorrow,52.07370376586914
Animation,nm0881279,Lee Unkrich,48.71983337402344
Animation,nm0118333,Chris Buck,48.39302062988281
Animation,nm0230032,Pete Docter,44.59366226196289
Animation,nm0004056,Andrew Stanton,43.994850158691406
Animation,nm0049633,Kyle Balda,42.371826171875
Biography,nm0000399,David Fincher,52.30141830444336
Biography,nm0000229,Steven Spielberg,49.271156311035156
Biography,nm0000217,Martin Scorsese,47.859100341796875
Biography,nm0000243,Denzel Washington,45.8385009765625
Biography,nm0000142,Clint Eastwood,44.87279510498047
Comedy,nm0000217,Martin Scorsese,53.19963836669922
Comedy,nm0881279,Lee Unkrich,48.71983337402344
Comedy,nm0118333,Chris Buck,48.39302062988281
Comedy,nm0330687,Joseph Gordon-Levitt,46.99457550048828
Comedy,nm0004056,Andrew Stanton,46.30458450317383
Crime,nm0634240,Christopher Nolan,69.56121063232422
Crime,nm0000399,David Fincher,52.96318817138672
Crime,nm0000217,Martin Scorsese,49.71510696411133
Crime,nm0000229,Steven Spielberg,49.69737243652344
Crime,nm0000233,Quentin Tarantino,48.01856231689453
Documentary,nm0000217,Martin Scorsese,45.70144271850586
Documentary,nm5842268,Cary Bell,34.40025329589844
Documentary,nm0294825,Ron Fricke,34.372920989990234
Documentary,nm3969724,Catherine Owens,33.977046966552734
Documentary,nm2101256,Marius A. Markevicius,33.609745025634766
Drama,nm0634240,Christopher Nolan,62.448974609375
Drama,nm0000116,James Cameron,53.09805679321289
Drama,nm0000399,David Fincher,52.98445129394531
