top_actors.genre,top_actors.actor_id,top_actors.actor_name,top_actors.actor_score
Action,nm0601376,Joel David Moore,71.229248046875
Action,nm1616211,Sean Anthony Moran,71.20172119140625
Action,nm0926677,Jason Whyte,71.20006561279297
Action,nm2438307,Dileep Rao,59.209388732910156
Action,nm0040012,Ali Astin,52.04671859741211
Adventure,nm0001634,CCH Pounder,71.23124694824219
Adventure,nm0601376,Joel David Moore,71.229248046875
Adventure,nm0022306,Laz Alonso,71.22581481933594
Adventure,nm0493013,Scott Lawrence,71.20497131347656
Adventure,nm1616211,Sean Anthony Moran,71.20172119140625
Animation,nm3432684,Emily Hahn,48.614044189453125
Animation,nm2676147,Jonathan Groff,48.3736457824707
Animation,nm5597831,Livvy Stubenrauch,48.34833526611328
Animation,nm0683986,Robert Pine,48.3433952331543
Animation,nm2949014,Santino Fontana,48.33720779418945
Biography,nm0001110,Embeth Davidtz,40.2548942565918
Biography,nm0328751,Caroline Goodall,40.23667526245117
Biography,nm0411980,Mark Ivanir,40.23533248901367
Biography,nm0919256,Norbert Weisser,40.231082916259766
Biography,nm0755974,Jonathan Sagall,40.23036193847656
Comedy,nm1261965,Darcy Donavan,50.0891227722168
Comedy,nm3432684,Emily Hahn,48.614044189453125
Comedy,nm2676147,Jonathan Groff,48.3736457824707
Comedy,nm5597831,Livvy Stubenrauch,48.34833526611328
Comedy,nm0683986,Robert Pine,48.3433952331543
Crime,nm0005132,Heath Ledger,50.83702850341797
Crime,nm2812026,Nathalie Emmanuel,50.715267181396484
Crime,nm1383586,John Brotherton,50.685577392578125
Crime,nm0004801,Nestor Carbonell,50.46827697753906
Crime,nm1977856,Chin Han,50.44265365600586
Documentary,nm6253767,Emily Gorell,34.40025329589844
Documentary,nm6253759,Abigail Evans,34.40025329589844
Documentary,nm6253760,John Evans,34.40025329589844
Documentary,nm6253761,Stacie Evans,34.40025329589844
Documentary,nm6253762,Moise Levy,34.40025329589844
Drama,nm0001784,Gloria Stuart,63.03942108154297
Drama,nm0404993,Jonathan Hyde,63.02357864379883
Drama,nm0143167,Nicholas Cascone,63.01479721069336
Drama,nm0008656,Lewis Abernathy,63.01476287841797
Drama,nm0755972,Anatoly M. Sagalevitch,63.014610290527344
Family,nm3432684,Emily Hahn,48.614044189453125
Family,nm2676147,Jonathan Groff,48.3736457824707
Family,nm5597831,Livvy Stubenrauch,48.34833526611328
Family,nm0683986,Robert Pine,48.3433952331543
Family,nm2949014,Santino Fontana,48.33720779418945
Fantasy,nm0002332,Stephen Lang,71.25
Fantasy,nm0022306,Laz Alonso,71.22581481933594
Fantasy,nm0313902,Matt Gerald,71.2182846069336
Fantasy,nm2438307,Dileep Rao,71.21299743652344
Fantasy,nm0493013,Scott Lawrence,71.20497131347656
Film-noir,nm0000059,Laurence Olivier,32.517696380615234
Film-noir,nm0000021,Joan Fontaine,32.51741409301758
Film-noir,nm0001695,George Sanders,32.49685287475586
Film-noir,nm0000752,Judith Anderson,32.49260330200195
Film-noir,nm0178066,Gladys Cooper,32.489227294921875
Game-show,nm1047343,Chris Harrison,12.934442520141602
History,nm0001110,Embeth Davidtz,40.2548942565918
History,nm0328751,Caroline Goodall,40.23667526245117
History,nm0411980,Mark Ivanir,40.23533248901367
History,nm0919256,Norbert Weisser,40.231082916259766
History,nm0755974,Jonathan Sagall,40.23036193847656
Horror,nm0586568,Mads Mikkelsen,39.25654602050781
Horror,nm0000096,Gillian Anderson,39.11904525756836
Horror,nm0860690,Scott Thompson,39.04976272583008
Horror,nm1782292,Hettienne Park,39.04867172241211
Horror,nm1378320,Aaron Abrams,39.04782485961914
Music,nm0799777,J.K. Simmons,35.31073760986328
Music,nm1886602,Miles Teller,34.64198684692383
Music,nm0611889,Chris Mulkey,34.57745361328125
Music,nm3271473,Austin Stowell,34.57151794433594
Music,nm0001663,Paul Reiser,34.56898498535156
Musical,nm0876138,Alan Tudyk,48.47052001953125
Musical,nm2676147,Jonathan Groff,48.3736457824707
Musical,nm0566052,Edie McClurg,48.36739730834961
Musical,nm1265802,Josh Gad,48.3642692565918
Musical,nm0005606,Maurice LaMarche,48.349365234375
Mystery,nm0000614,Alan Rickman,44.65340042114258
Mystery,nm1500155,Robert Pattinson,44.31003952026367
Mystery,nm0000980,Jim Broadbent,43.90340042114258
Mystery,nm0855039,David Tennant,43.884681701660156
Mystery,nm2917590,Elarica Johnson,43.872589111328125
News,nm0000216,Arnold Schwarzenegger,30.116117477416992
News,nm0001728,Wallace Shawn,29.975492477416992
News,nm0001654,Ronald Reagan,29.906742095947266
News,nm0601619,Michael Moore,29.903898239135742
News,nm0761471,Bernie Sanders,29.88089942932129
Reality-tv,nm1047343,Chris Harrison,12.934442520141602
Romance,nm0000708,Billy Zane,63.07398223876953
Romance,nm0001784,Gloria Stuart,63.03942108154297
Romance,nm0404993,Jonathan Hyde,63.02357864379883
Romance,nm0000751,Suzy Amis,63.01701354980469
Romance,nm0143167,Nicholas Cascone,63.01479721069336
Sci-fi,nm0601376,Joel David Moore,71.229248046875
Sci-fi,nm0022306,Laz Alonso,71.22581481933594
Sci-fi,nm1616211,Sean Anthony Moran,71.20172119140625
Sci-fi,nm0926677,Jason Whyte,71.20006561279297
Sci-fi,nm2438307,Dileep Rao,59.209388732910156
Short,nm0000458,William Hurt,26.83472442626953
Short,nm0711805,Elden Henson,26.825193405151367
Short,nm0100989,Michael Bower,26.8184757232666
Short,nm0414130,Victoria Jackson,26.810562133789062
Short,nm0282708,Isaac Florentine,26.809694290161133
Sport,nm2018237,Taylor Kitsch,35.86442565917969
Sport,nm0059431,Jay Baruchel,35.863365173339844
Sport,nm0005476,Hilary Swank,35.8133659362793
Sport,nm0151419,Kyle Chandler,35.79880142211914
Sport,nm1597316,Adrianne Palicki,35.77692413330078
Thriller,nm0695435,Chris Pratt,51.84693908691406
Thriller,nm2159926,Jake Johnson,51.83443832397461
Thriller,nm2692146,Katie McGrath,51.790687561035156
Thriller,nm1944055,Lauren Lapkus,51.783626556396484
Thriller,nm2952467,Andy Buckley,51.76337432861328
War,nm0000158,Tom Hanks,41.85686111450195
War,nm0004874,Vin Diesel,41.82561111450195
War,nm0001199,Dennis Farina,41.509986877441406
War,nm0316079,Paul Giamatti,41.509986877441406
War,nm0122653,Edward Burns,41.42560958862305
Western,nm0362766,Tom Hardy,40.52219772338867
Western,nm0910607,Christoph Waltz,40.42634582519531
Western,nm0004937,Jamie Foxx,40.17009735107422
Western,nm0913488,Kerry Washington,40.157596588134766
Western,nm1017951,Ato Essandoh,40.090877532958984
