twitter_top_words.genre,twitter_top_words.word,twitter_top_words.count,twitter_top_words.sentiment
Action,time,1836,0.3096809823518469
Action,love,1404,0.8820621727665945
Action,year,1379,0.24812941474230868
Action,today,1313,0.4472164022158165
Action,road,1277,-1.0503031118913682
Action,good,1203,0.8691677369691387
Action,life,1178,0.7269519339797857
Action,superman,1095,0.3246338678073121
Action,back,1076,0.13670185772567073
Action,world,1030,0.35030660007795483
Action,years,1004,0.19460874364063874
Action,hard,877,0.366199488412831
Action,apes,862,0.4677882200223664
Action,night,838,0.37320023727089807
Action,game,824,0.31807911162969915
Action,story,795,0.8878209801777354
Action,people,777,0.16744541910751465
Action,part,772,0.11930799567734177
Action,video,762,0.18359230251938807
Action,great,741,0.40726316746593894
Action,news,698,0.2200035666673308
Action,terror,670,0.12826022461279116
Action,series,651,0.4098340353646678
Action,times,649,0.3083200366716998
Action,trump,632,0.07268346633903588
Action,soldier,607,0.14699827014319783
Action,city,603,0.489109803738681
Action,days,598,0.24609739069879855
Action,runner,596,-0.07540440699398117
Action,forward,581,0.39681307676531974
Action,hungry,570,-0.8513936418713185
Action,dead,567,-0.6110888643344664
Action,street,564,0.48902427629032663
Action,crazy,552,-0.21895218775540157
Action,watch,551,0.3150361242103847
Action,reviews,542,0.6255425984122381
Action,shit,537,0.06935397841147316
Action,tomorrow,531,0.31765182169764644
Action,work,528,0.12957851278990734
Action,history,521,0.2065150021448474
Action,warrior,515,0.31196831745430104
Action,november,510,0.10478750221869525
Action,october,498,0.3217814575476819
Action,vengeance,496,-0.23316081883686202
Action,book,493,0.7168369345805224
Action,show,490,0.5039955119089204
Action,week,489,0.16343714612210455
Action,country,466,0.41696617020046245
Action,season,465,0.9286759042291232
Action,scene,464,0.2489012087984332
Adventure,road,1924,-0.556993804128527
Adventure,time,1789,0.3196793506515424
Adventure,love,1638,0.9971810531630766
Adventure,year,1478,0.31910340488524114
Adventure,superman,1331,0.2899428178394629
Adventure,good,1284,0.8425751542226211
Adventure,world,1265,0.3946832055630891
Adventure,years,1159,0.2288459990245095
Adventure,back,1116,0.23198284677773928
Adventure,life,1107,0.822773782465718
Adventure,today,1073,0.512791010182271
Adventure,support,1040,1.048357068775938
Adventure,game,1021,0.3433775054898622
Adventure,story,1017,1.616892122911727
Adventure,part,870,0.16591113835744475
Adventure,shit,837,0.13030124464369375
Adventure,hope,836,0.9688047305391166
Adventure,night,804,0.4005561580195727
Adventure,people,791,0.24322273551136747
Adventure,video,775,0.15345164328933725
Adventure,series,765,0.23679297965239074
Adventure,wild,734,0.6909341450364453
Adventure,work,723,0.45822236565860147
Adventure,days,715,0.24599414014003493
Adventure,show,701,0.5468572720821506
Adventure,apes,694,0.47976115809737435
Adventure,park,689,0.1731727621551868
Adventure,great,655,0.4046435946214745
Adventure,things,619,0.2756852943672887
Adventure,warrior,617,0.24292304254524905
Adventure,mind,608,1.317127545756337
Adventure,home,605,0.4422464796826859
Adventure,justice,596,0.9863533779678729
Adventure,place,564,0.49183845169947926
Adventure,black,546,0.13590809988069447
Adventure,times,538,0.40741395316048623
Adventure,reviews,530,0.6717879977252966
Adventure,company,529,0.23168213866186277
Adventure,book,526,0.749045016364453
Adventure,alive,520,0.6671769163356378
Adventure,resid,513,-0.4800055319802803
Adventure,group,502,0.4788072511880284
Adventure,news,499,0.3274563692495197
Adventure,forever,496,0.2526190128874958
Adventure,dead,495,-0.48084293712269177
Adventure,live,494,1.0067881118159303
Adventure,vacation,491,1.1784096653981024
Adventure,november,475,0.1451934055278176
Adventure,room,472,0.2806610900561436
Adventure,free,468,1.0323319284834414
Animation,year,1131,0.3622123697866495
Animation,love,1125,0.9578388595581054
Animation,time,1064,0.3258638980945474
Animation,support,979,1.0671359483262979
Animation,story,868,1.7480171525052615
Animation,back,862,0.28027055348569996
Animation,good,856,0.8855498965647577
Animation,hope,813,0.9729584805933166
Animation,world,748,0.433519076416518
Animation,life,745,0.7703492757333006
Animation,years,743,0.2200463630790505
Animation,night,659,0.43317906411537094
Animation,today,637,0.5586282617969547
Animation,game,633,0.3673394111472095
Animation,people,606,0.25711905100558063
Animation,shit,565,0.15463312471334914
Animation,part,530,0.28052570628670026
Animation,days,506,0.2274782120769203
Animation,show,504,0.619774352877386
Animation,great,471,0.41022530628364307
Animation,superman,466,0.2861113357457608
Animation,group,460,0.4932478695459988
Animation,home,444,0.4992101854971937
Animation,period,429,-0.009036435113920199
Animation,work,428,0.505479712770364
Animation,video,380,0.2406722998957297
Animation,christmas,375,0.48597872580091156
Animation,november,373,0.21717733096820738
Animation,reason,371,0.8531550030823988
Animation,family,368,0.2504308602732161
Animation,times,362,0.48169667487809675
Animation,warrior,359,0.3807166214606888
Animation,monsters,357,0.9986869623514116
Animation,team,351,0.37363104161373906
Animation,early,346,0.36754176795827165
Animation,country,345,0.3967379387738048
Animation,dead,344,-0.5067296438785487
Animation,terror,343,0.170052621524466
Animation,resid,342,-0.4800055319802803
Animation,cars,340,-0.05423386088188957
Animation,reviews,339,0.6961272454718924
Animation,hilarious,339,0.8829389631220724
Animation,news,333,0.3418533078901045
Animation,kashmir,330,-0.07892821051857687
Animation,coming,323,0.7840704244356775
Animation,update,323,0.34660867170283666
Animation,make,319,0.5293147369225139
Animation,book,314,0.7440037304049085
Animation,park,308,0.2666764948275182
Animation,place,302,0.5012199304849897
Biography,alive,945,0.6924334770787961
Biography,friday,897,0.17378572889561106
Biography,time,778,0.3398163790591923
Biography,enjoy,720,0.88742077185048
Biography,today,653,0.5354654730210626
Biography,life,649,0.7831606754490701
Biography,love,627,1.0090576853763544
Biography,good,606,0.7865823860043543
Biography,wild,576,0.7398283991238309
Biography,year,563,0.4748553227133665
Biography,mind,553,1.5533573948399284
Biography,people,535,-0.02215882968679767
Biography,network,513,0.010757114571205125
Biography,control,511,-0.007386107267465611
Biography,grace,496,0.49090434556766865
Biography,monster,495,-0.537376578182283
Biography,street,493,0.22991257321097064
Biography,bull,471,-0.18917229113558548
Biography,race,458,-0.1460710961745816
Biography,monsters,430,0.565780427913333
Biography,game,405,0.17676221117101334
Biography,night,404,0.3104424343840911
Biography,world,371,0.2650144461961589
Biography,great,365,0.5365531295537949
Biography,years,363,0.32993352938617887
Biography,back,362,0.2150972629254118
Biography,radio,339,0.25265217371350895
Biography,story,334,0.8389621437666659
Biography,work,322,0.48320215635047936
Biography,days,317,0.2963985897577147
Biography,week,291,-0.03912134380863909
Biography,shit,276,-0.09469352841404254
Biography,reality,275,0.5156970284201882
Biography,family,271,0.348716154419628
Biography,earth,268,0.5047714243184275
Biography,australia,266,0.4057874244854862
Biography,sunshine,262,1.2904630772030081
Biography,part,261,0.08794784317528151
Biography,series,252,0.17936864187793125
Biography,house,245,0.23442741924402666
Biography,club,245,0.3513064532331666
Biography,perfect,241,0.4490343298902155
Biography,hour,234,-0.09890403280146101
Biography,months,229,0.6001705276133191
Biography,country,224,-0.0396809726329853
Biography,neverland,220,0.2020324956287037
Biography,dead,218,-0.3571707352038917
Biography,blowing,217,0.1747064539639082
Biography,miracle,214,1.0831016747750968
Biography,give,210,1.0441489673796154
Comedy,good,5849,1.00600920780326
Comedy,time,5009,0.31289239460518736
Comedy,love,4378,1.0517262743813418
Comedy,year,3697,0.38346704571717716
Comedy,life,3498,0.8259603951385659
Comedy,years,3349,0.28488855951937514
Comedy,back,3227,0.19175958249263114
Comedy,night,2889,0.5728413980852655
Comedy,world,2764,0.3613430896555592
Comedy,today,2714,0.4923317111979184
Comedy,story,2684,1.038688017241379
Comedy,people,2664,0.24253450938959834
Comedy,game,2295,0.37361816339390574
Comedy,shit,2207,0.1282183492031264
Comedy,work,2022,0.5320020200929703
Comedy,part,1974,0.1454597282713598
Comedy,made,1939,0.46317338789782003
Comedy,times,1862,0.4541520671128715
Comedy,days,1787,0.2612202588591785
Comedy,street,1753,0.24724276732128483
Comedy,great,1694,0.5327218377701152
Comedy,support,1558,0.9781909521683496
Comedy,friday,1514,0.1457523700966939
Comedy,house,1482,0.2839692723975038
Comedy,home,1394,0.3621828392745294
Comedy,dead,1383,-0.6003336565959956
Comedy,watch,1357,0.37624466072509066
Comedy,show,1345,0.6163027325028824
Comedy,christmas,1324,0.5484830974136955
Comedy,things,1317,0.3506172846312562
Comedy,girl,1298,1.1273355481253566
Comedy,make,1293,0.653476971765218
Comedy,superman,1276,0.2970880914485333
Comedy,dragon,1262,0.8960767272563147
Comedy,hope,1256,0.9053399849232214
Comedy,week,1241,0.3358213812725185
Comedy,trump,1199,0.048359810507501336
Comedy,enjoy,1147,0.9705796937840652
Comedy,crazy,1143,-0.11855998422790803
Comedy,family,1127,0.3999391808517495
Comedy,find,1061,0.7625642457132514
Comedy,book,1061,0.7367245881036134
Comedy,city,1060,0.40704481223738703
Comedy,mind,1051,0.734302158388606
Comedy,season,1041,0.9513017744198083
Comedy,money,1033,0.28786158652584876
Comedy,video,1030,0.260913860057345
Comedy,hell,1023,0.03944989484482202
Comedy,tonight,1016,0.4045241276147376
Comedy,wanted,1015,0.4727986081333583
Crime,good,4520,1.06253299837421
Crime,time,2440,0.3551274107227132
Crime,love,2268,1.0135026482086649
Crime,life,1770,0.8048500540866227
Crime,back,1736,0.1530799602371885
Crime,years,1654,0.2444977439633664
Crime,today,1590,0.4476978408184441
Crime,street,1557,0.26590267264486966
Crime,night,1497,0.718464536235264
Crime,people,1457,0.23417353613606373
Crime,made,1442,0.4697331729837165
Crime,year,1422,0.3775885733402479
Crime,dragon,1340,0.6607911550342592
Crime,world,1266,0.4017017255934458
Crime,work,1165,0.4592728035708354
Crime,story,1142,0.6857560254672572
Crime,times,1101,0.4261907730776001
Crime,game,1082,0.38290123181510544
Crime,part,1028,0.14044844222903716
Crime,shit,1007,0.0473222732481518
Crime,great,953,0.5251257097717973
Crime,drive,933,1.2157981359227166
Crime,crazy,889,-0.11212975155516067
Crime,girl,889,1.3099000809548675
Crime,things,883,0.3701017464543793
Crime,hungry,851,-0.8581162485721949
