release_year,average_budget
1916,385907.0
1925,245000.0
1927,1.5E7
1929,589500.0
1930,4000000.0
1932,5000000.0
1933,319500.0
1934,325000.0
1935,609000.0
1936,1500000.0
1937,1488000.0
1938,1822000.0
1939,2725666.6666666665
1940,1692000.0
1941,1250000.0
1942,948500.0
1943,2627000.0
1944,2361000.0
1945,1636666.6666666667
1946,3760000.0
1947,3000000.0
1948,2266666.6666666665
1949,1300000.0
1950,3768785.0
1951,4116666.6666666665
1952,2423333.3333333335
1953,2027500.0
1954,2136666.6666666665
1955,700000.0
1956,3166666.6666666665
1957,1670000.0
1958,3000000.0
1959,3794616.0
1960,3000000.0
1961,3580000.0
1962,5210000.0
1963,1.007325E7
1964,5378000.0
1965,7492857.142857143
1966,2496300.0
1967,4500000.0
1968,5238125.0
1969,8020000.0
1970,8026694.6
1971,3267700.0
1972,2530285.714285714
1973,4901972.875
1974,5400000.0
1975,5516666.666666667
1976,7525000.0
1977,1.02625E7
1978,1.4002916666666666E7
1979,1.90625E7
1980,1.9186363636363637E7
1981,1.2106666666666666E7
1982,1.2905833333333334E7
1983,1.5309181818181818E7
1984,1.8429E7
1985,1.4065384615384616E7
1986,1.42875E7
1987,1.3055E7
1988,1.3613793103448275E7
1989,1.850774193548387E7
1990,2.5912692307692308E7
1991,2.5315766666666668E7
1992,2.616474193548387E7
1993,2.0936363636363637E7
1994,2.884758823529412E7
1995,3.314558823529412E7
1996,3.1440582717391305E7
1997,3.491449557522124E7
1998,2.969945901639344E7
1999,2.8897825E7
2000,3.1610588928104576E7
2001,3.1730508474576272E7
2002,3.0757579994708996E7
2003,3.512164417177914E7
2004,3.1974314228723403E7
2005,3.100810714285714E7
2006,3.01357399103139E7
2007,3.2990700489130434E7
2008,3.421122641509434E7
2009,3.3706504201680675E7
2010,3.50162625E7
2011,3.685024635211267E7
2012,3.678381909547739E7
2013,3.749152571428572E7
2014,3.0931910714285713E7
2015,3.438728494623656E7
2016,4.760289156626506E7
