release_year,average_gross
1925,2.2E7
1927,1405032.0
1929,2619975.0
1932,1.1017403E7
1933,2140500.0
1934,2500000.0
1935,3202000.0
1936,165049.0
1937,1.84925486E8
1938,4000000.0
1939,1.44492943E8
1940,2.484475E7
1942,1.3923125E8
1943,5363000.0
1944,3500000.0
1945,9044000.0
1946,1.8256302666666668E7
1947,3960508.0
1948,5984000.0
1949,6600000.0
1950,8000000.0
1951,1.6342837666666666E7
1952,1.7066666666666668E7
1953,1.85E7
1954,8290578.666666667
1955,3501824.0
1956,1.1266666666666666E7
1957,3.33E7
1958,1.7570324E7
1959,1.6266666666666666E7
1960,1.75E7
1961,1.49E7
1962,4.01584532E7
1963,3.5730558875E7
1964,3.6127288666666664E7
1965,9.2472132E7
1966,1.48625E7
1967,6.23037755E7
1968,2.2426421714285713E7
1969,7.87782995E7
1970,1.6972966E7
1971,3.5192943875E7
1972,5.82446404E7
1973,1.1474952375E8
1974,7.3024E7
1975,1.293459716E8
1976,4.9106550375E7
1977,1.0929354392857143E8
1978,9.680798016666667E7
1979,7.2625356625E7
1980,6.745270872727273E7
1981,4.5989208833333336E7
1982,8.639519844444445E7
1983,7.268244886363636E7
1984,6.0082090375E7
1985,6.483059912E7
1986,6.51615515E7
1987,5.338621306896552E7
1988,6.990988442857143E7
1989,8.416713786666666E7
1990,1.4002541416E8
1991,9.245970903333333E7
1992,9.8147913E7
1993,9.253726544186047E7
1994,1.0367503848979592E8
1995,9.29937325E7
1996,7.932529010869566E7
1997,9.597462201769912E7
1998,6.867090029508197E7
1999,6.954746065625E7
2000,7.194193583552632E7
2001,7.606589383615819E7
2002,8.299090662702702E7
2003,9.50635655875E7
2004,8.840191849456522E7
2005,7.705901695287958E7
2006,7.834288391666667E7
2007,9.225266764534883E7
2008,9.05442815320197E7
2009,9.760046214479639E7
2010,1.013017786080402E8
2011,1.1565246187309645E8
2012,1.2758916514124294E8
2013,1.3109565427118644E8
2014,1.3310064812643678E8
2015,1.4586762913194445E8
2016,1.750668701690141E8
