correlation.release_year,correlation.duration,correlation.movie_facebook_likes,correlation.num_user_for_reviews,correlation.num_critic_for_reviews,correlation.num_voted_users,correlation.imdb_score,correlation.production_budget,correlation.worldwide_gross,correlation.cast_total_facebook_likes,correlation.actor_1_facebook_likes,correlation.actor_2_facebook_likes,correlation.actor_3_facebook_likes,correlation.director_facebook_likes
1,-0.1495953,0.212509249,-0.002903813,0.269851806,0.010030531,-0.218303277,0.176075545,0.090484807,0.162160349,0.080289108,0.160937761,0.203603366,-0.083536338
-0.1495953,1,0.214036016,0.325470503,0.26262001,0.317109318,0.286008164,0.264752778,0.245117988,0.166452171,0.088648953,0.178549487,0.203947283,0.238275608
0.212509249,0.214036016,1,0.458123973,0.718663911,0.580028453,0.287771223,0.352966133,0.431389505,0.291950056,0.13804158,0.303942281,0.366117023,0.228761186
-0.002903813,0.325470503,0.458123973,1,0.607858427,0.815930684,0.316464403,0.452494815,0.566472708,0.286629252,0.148487237,0.294327425,0.35924696,0.333214006
0.269851806,0.26262001,0.718663911,0.607858427,1,0.630077539,0.32478378,0.507174223,0.527241318,0.37546237,0.192326699,0.393990886,0.463108747,0.266366398
0.010030531,0.317109318,0.580028453,0.815930684,0.630077539,1,0.428010592,0.445844265,0.623763719,0.341331329,0.184425867,0.344433823,0.411596528,0.385969603
-0.218303277,0.286008164,0.287771223,0.316464403,0.32478378,0.428010592,1,0.054547922,0.194878057,0.096445697,0.063269086,0.109977203,0.11213743,0.228253096
0.176075545,0.264752778,0.352966133,0.452494815,0.507174223,0.445844265,0.054547922,1,0.74060751,0.390783732,0.186054504,0.380905758,0.474679024,0.148853847
0.090484807,0.245117988,0.431389505,0.566472708,0.527241318,0.623763719,0.194878057,0.74060751,1,0.32611472,0.143885222,0.327429877,0.401816329,0.1808177
0.162160349,0.166452171,0.291950056,0.286629252,0.37546237,0.341331329,0.096445697,0.390783732,0.32611472,1,0.886685422,0.723952577,0.691879819,0.165669449
0.080289108,0.088648953,0.13804158,0.148487237,0.192326699,0.184425867,0.063269086,0.186054504,0.143885222,0.886685422,1,0.433117983,0.338746833,0.0960684
0.160937761,0.178549487,0.303942281,0.294327425,0.393990886,0.344433823,0.109977203,0.380905758,0.327429877,0.723952577,0.433117983,1,0.717075915,0.176558241
0.203603366,0.203947283,0.366117023,0.35924696,0.463108747,0.411596528,0.11213743,0.474679024,0.401816329,0.691879819,0.338746833,0.717075915,1,0.214880038
-0.083536338,0.238275608,0.228761186,0.333214006,0.266366398,0.385969603,0.228253096,0.148853847,0.1808177,0.165669449,0.0960684,0.176558241,0.214880038,1
